plot,grid_cell,Species,Chamber size class,ID,timepoint,condition,collection_date,start_time,end_time,Rounded time,timezone,Temperature_F,Temperature_C,flux_CO2_ppm_ss,flux_CH4_ppb_s,flux_CO2_ppm_min,flux_CH4_ppm_min,notes,instrument,personnel,Length (cm),Width (cm),Height (cm),Surface Area (cm2),Volume (cm3),SA:Volume Ratio,Quantity,Surface Area of Tree Covered (cm2),Volume (L),Surface Area of Tree Covered (m2),flux_CO2_umol_m2_min,flux_CH4_nmol_m2_min,flux_CO2_umol_m2_min_MEAN,flux_CO2_umol_m2_min_SE,flux_CO2_umol_m2_min_SE1,flux_CO2_umol_m2_min_SE2,flux_CH4_nmol_m2_min_MEAN,flux_CH4_nmol_m2_min_SE,flux_CH4_nmol_m2_min_SE1,flux_CH4_nmol_m2_min_SE2,Note
Control,D4,Red Maple,3,C10,T3A,flooded,6/7/23,10:19,10:24,10:00,EDT,74,23.33333333,0.328,0.003,19.68,0.00018,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,40.44633537,0.369935994,,,,,,,,,
Control,D4,Red Maple,3,C10,T3B,flooded,6/7/23,14:17,14:22,14:00,EDT,78,25.55555556,0.367,0.003,22.02,0.00018,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,44.91882464,0.367183853,,,,,,,,,
Control,D4,Red Maple,3,C10,T4,post-flood,6/8/23,13:32,13:42,14:00,EDT,79,26.11111111,0.345,0.002,20.7,0.00012,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,42.14775342,0.244334802,,,,,,,,,
Control,D4,Red Maple,3,C10,T5,post-flood,6/9/23,11:28,11:35,11:00,EDT,74,23.33333333,0.301,0.003,18.06,0.00018,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,37.11691142,0.369935994,,,,,,,,,
Control,B8,Beech,3,C13,T0,pre-flood,6/4/23,14:33,14:39,15:00,EDT,76,24.44444444,0.388,0.036,23.28,0.00216,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,47.66641894,4.422657428,,,,,,,,,
Control,B8,Beech,3,C13,T1,pre-flood,6/5/23,13:48,13:53,14:00,EDT,80,26.66666667,0.412,0.052,24.72,0.00312,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,50.2397031,6.340933401,,,,,,,,,
Control,B8,Beech,3,C13,T2,flooded,6/6/23,13:34,13:39,14:00,EDT,82,27.77777778,0.36,0.033,21.6,0.00198,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,43.73668293,4.009195935,,,,,,,,,
Control,B8,Beech,3,C13,T3A,flooded,6/7/23,9:40,9:45,10:00,EDT,74,23.33333333,0.373,0.036,22.38,0.00216,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,45.99537528,4.439231931,,,,,,,,,
Control,B8,Beech,3,C13,T3B,flooded,6/7/23,14:44,14:49,15:00,EDT,79,26.11111111,0.418,0.036,25.08,0.00216,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,51.06597371,4.398026444,,,,,,,,,
Control,B8,Beech,3,C13,T4,post-flood,6/8/23,12:43,12:52,13:00,EDT,78,25.55555556,0.379,0.035,22.74,0.0021,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,46.38756005,4.283811614,,,,,,,,,
Control,B8,Beech,3,C13,T5,post-flood,6/9/23,10:05,10:10,10:00,EDT,72,22.22222222,0.337,0.041,20.22,0.00246,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,41.71246642,5.074810455,,,,,,,,,
Control,A4,Beech,3,C15,T0,pre-flood,6/4/23,14:42,14:48,15:00,EDT,76,24.44444444,0.524,0.034,31.44,0.00204,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,64.37423589,4.176954237,,,,,,,,,
Control,A4,Beech,3,C15,T1,pre-flood,6/5/23,13:56,14:02,14:00,EDT,80,26.66666667,0.587,0.037,35.22,0.00222,had to A...//No gas sample,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,71.57938282,4.511817997,,,,,,,,,
Control,A4,Beech,3,C15,T2,flooded,6/6/23,13:41,13:46,14:00,EDT,82,27.77777778,0.503,0.028,30.18,0.00168,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,61.10986532,3.401742006,,,,,,,,,
Control,A4,Beech,3,C15,T3A,flooded,6/7/23,9:48,9:53,10:00,EDT,74,23.33333333,0.557,0.035,33.42,0.0021,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,68.68478293,4.315919933,,,,,,,,,
Control,A4,Beech,3,C15,T3B,flooded,6/7/23,14:51,14:56,15:00,EDT,79,26.11111111,0.626,0.036,37.56,0.00216,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,76.47679316,4.398026444,,,,,,,,,
Control,A4,Beech,3,C15,T4,post-flood,6/8/23,12:15,12:23,12:00,EDT,77,25,0.578,0.037,34.68,0.00222,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,70.8759094,4.537039183,,,,,,,,,
Control,A4,Beech,3,C15,T5,post-flood,6/9/23,10:34,10:42,11:00,EDT,74,23.33333333,0.576,0.036,34.56,0.00216,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,71.02771089,4.439231931,,,,,,,,,
Control,F6,Beech,3,C17,T0,pre-flood,6/4/23,13:19,13:25,13:00,EDT,73,22.77777778,0.53,0.005,31.8,0.0003,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,65.47805288,0.61771748,,,,,,,,,
Control,F6,Beech,3,C17,T1,pre-flood,6/5/23,14:48,14:53,15:00,EDT,81,27.22222222,0.61,0.005,36.6,0.0003,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,74.24644894,0.60857745,,,,,,,,,
Control,F6,Beech,3,C17,T2,flooded,6/6/23,13:00,13:05,13:00,EDT,82,27.77777778,0.603,0.007,36.18,0.00042,data not plotting on tablet,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,73.25894391,0.850435501,,,,,,,,,
Control,F6,Beech,3,C17,T3A,flooded,6/7/23,9:02,9:07,9:00,EDT,72,22.22222222,0.553,0.006,33.18,0.00036,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,68.44805321,0.742655188,,,,,,,,,
Control,F6,Beech,3,C17,T3B,flooded,6/7/23,13:44,13:49,14:00,EDT,78,25.55555556,0.639,0.006,38.34,0.00036,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,78.21016061,0.734367705,,,,,,,,,
Control,F6,Beech,3,C17,T4,post-flood,6/8/23,13:55,14:01,14:00,EDT,79,26.11111111,0.607,0.006,36.42,0.00036,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,74.15561254,0.733004407,,,,,,,,,
Control,F6,Beech,3,C17,T5,post-flood,6/9/23,11:48,11:53,12:00,EDT,74,23.33333333,0.559,0.006,33.54,0.00036,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,68.93140692,0.739871988,,,,,,,,,
Control,?,Beech,3,C18,T0,pre-flood,6/4/23,15:18,15:32,15:00,EDT,76,24.44444444,0.42,0.009,25.2,0.00054,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,51.59766999,1.105664357,,,,,,,,,
Control,?,Beech,3,C18,T1,pre-flood,6/5/23,15:22,15:27,15:00,EDT,81,27.22222222,0.484,0.011,29.04,0.00066,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,58.91029719,1.338870391,,,,,,,,,
Control,?,Beech,3,C18,T2,flooded,6/6/23,12:35,12:40,13:00,EDT,82,27.77777778,0.446,0.01,26.76,0.0006,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,54.18489052,1.214907859,,,,,,,,,
Control,?,Beech,3,C18,T3A,flooded,6/7/23,8:09,8:14,8:00,EDT,68,20,0.434,0.011,26.04,0.00066,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,54.12593985,1.371855618,,,,,,,,,
Control,?,Beech,3,C18,T3B,flooded,6/7/23,13:03,13:08,13:00,EDT,78,25.55555556,0.491,0.012,29.46,0.00072,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,60.09575721,1.46873541,,,,,,,,,
Control,?,Beech,3,C18,T4,post-flood,6/8/23,13:14,13:20,13:00,EDT,78,25.55555556,0.469,0.011,28.14,0.00066,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,57.40307562,1.346340793,,,,,,,,,
Control,?,Beech,3,C18,T5,post-flood,6/9/23,12:11,12:16,12:00,EDT,74,23.33333333,0.434,0.011,26.04,0.00066,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,53.51740716,1.356431979,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T0,pre-flood,6/4/23,13:03,13:08,13:00,EDT,73,22.77777778,0.469,0.008,28.14,0.00048,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,57.94189962,0.988347968,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T1,pre-flood,6/5/23,14:55,15:01,15:00,EDT,81,27.22222222,0.602,0.01,36.12,0.0006,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,73.27272502,1.217154901,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T2,flooded,6/6/23,12:44,12:51,13:00,EDT,82,27.77777778,0.556,0.009,33.36,0.00054,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,67.54887697,1.093417073,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T3A,flooded,6/7/23,8:48,8:53,9:00,EDT,72,22.22222222,0.382,0.01,22.92,0.0006,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,47.28238033,1.237758647,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T3B,flooded,6/7/23,14:01,14:07,14:00,EDT,78,25.55555556,0.599,0.01,35.94,0.0006,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,73.3143759,1.223946175,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T4,post-flood,6/8/23,14:12,14:17,14:00,EDT,79,26.11111111,0.558,0.009,33.48,0.00054,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,68.16940988,1.099506611,,,,,,,,,
Control,F5,Tulip Poplar,3,C2,T5,post-flood,6/9/23,12:03,12:08,12:00,EDT,74,23.33333333,0.506,0.009,30.36,0.00054,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,62.39587102,1.109807983,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T0,pre-flood,6/4/23,12:44,12:50,13:00,EDT,73,22.77777778,0.261,0,15.66,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.24485245,0,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T1,pre-flood,6/5/23,12:24,12:29,12:00,EDT,78,25.55555556,0.285,-0.004,17.1,-0.00024,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,34.882466,-0.48957847,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T2,flooded,6/6/23,12:05,12:10,12:00,EDT,80,26.66666667,0.272,0.001,16.32,0.00006,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,33.16795933,0.121941027,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T3A,flooded,6/7/23,8:31,8:36,9:00,EDT,72,22.22222222,0.263,0.001,15.78,0.00006,Data not plotting consistently,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.55305243,0.123775865,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T3B,flooded,6/7/23,13:27,13:32,13:00,EDT,78,25.55555556,0.27,0,16.2,0,,TG10-01286,"KAM, CGN",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,33.04654673,0,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T4,post-flood,6/8/23,14:38,14:43,15:00,EDT,76,24.44444444,0.28,-0.001,16.8,-0.00006,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,34.39844666,-0.122851595,,,,,,,,,
Control,I3,Tulip Poplar,3,C5,T5,post-flood,6/9/23,12:41,12:46,13:00,EDT,73,22.77777778,0.262,0,15.72,0,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,32.36839595,0,,,,,,,,,
Control,B3,Red Maple,3,C7,T0,pre-flood,6/4/23,15:11,15:16,15:00,EDT,76,24.44444444,0.486,-0.001,29.16,-0.00006,,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,59.70587528,-0.122851595,,,,,,,,,
Control,B3,Red Maple,3,C7,T1,pre-flood,6/5/23,14:37,14:42,15:00,EDT,81,27.22222222,0.499,0,29.94,0,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,60.73602954,0,,,,,,,,,
